Country,Continent,PIB
Afghanistan,Asia,19291
Albania,Europe,15279
Algeria,Africa,171091
Andorra,Europe,3154
Angola,Africa,88815
Antigua and Barbuda,North America,1661
Argentina,South America,445445
Armenia,Asia,13672
Australia,Oceania,1396567
Austria,Europe,445075
Azerbaijan,Asia,48047
Bahamas,North America,13578
Bahrain,Asia,38574
Bangladesh,Asia,302571
Barbados,North America,5209
Belarus,Europe,63080
Belgium,Europe,533097
Belize,North America,1879
Benin,Africa,14390
Bhutan,Asia,2530
Bolivia (Plurinational State of),South America,40895
Bosnia and Herzegovina,Europe,20164
Botswana,Africa,1834
Brazil,South America,1839758
Brunei Darussalam,Asia,13469
Bulgaria,Europe,68558
Burkina Faso,Africa,15990
Burundi,Africa,3012
Cabo Verde,Africa,1981
Cambodia,Asia,27089
Cameroon,Africa,39007
Canada,North America,1736425
Central African Republic,Africa,2220
Chad,Africa,11314
Chile,South America,282318
China,Asia,14279937
Colombia,South America,323615
Comoros,Africa,1165
Congo,Africa,12267
Congo (Democratic Republic of the),Africa,50400
Costa Rica,North America,61801
Côte d’Ivoire,Africa,58539
Croatia,Europe,60752
Cuba,North America,100023
Cyprus,Asia,24948
Czechia,Europe,250700
Denmark,Europe,350104
Djibouti,Africa,3324
Dominica,North America,582
Dominican Republic,North America,88941
Ecuador,South America,107435
Egypt,Africa,303092
El Salvador,North America,27022
Equatorial Guinea,Africa,11026
Eritrea,Africa,2065
Estonia,Europe,31471
Eswatini (Kingdom of),Africa,4471
Ethiopia,Africa,95912
Fiji,Oceania,5496
Finland,Europe,269296
France,Europe,2715518
Gabon,Africa,16874
Gambia,Africa,1826
Georgia,Asia,17477
Germany,Europe,3861123
Ghana,Africa,66983
Greece,Europe,209852
Grenada,North America,1210
Guatemala,North America,76710
Guinea,Africa,12296
Guinea-Bissau,Africa,1339
Guyana,South America,14332
Haiti,North America,14332
Honduras,North America,25095
"Hong Kong, China (SAR)",Asia,365711
Hungary,Europe,163469
Iceland,Europe,24188
India,Asia,2868929
Indonesia,Asia,1119190
Iran (Islamic Republic of),Asia,453996
Iraq,Asia,234094
Ireland,Europe,388698
Israel,Asia,394652
Italy,Europe,2003576
Jamaica,North America,16458
Japan,Asia,5081769
Jordan,Asia,44502
Kazakhstan,Asia,181665
Kenya,Africa,95503
Kiribati,Oceania,194
Korea (Democratic People's Rep. of),Asia,
Korea (Republic of),Asia,1646739
Kuwait,Asia,134628
Kyrgyzstan,Asia,8454
Lao People's Democratic Republic,Asia,18173
Latvia,Europe,34102
Lebanon,Asia,51991
Lesotho,Africa,2376
Liberia,Africa,3070
Libya,Africa,52091
Liechtenstein,Europe,6876
Lithuania,Europe,54627
Luxembourg,Europe,71104
Madagascar,Africa,14114
Malawi,Africa,7666
Malaysia,Asia,364681
Maldives,Asia,5642
Mali,Africa,17279
Malta,Europe,14989
Marshall Islands,Oceania,221
Mauritania,Africa,7600
Mauritius,Africa,14048
Mexico,North America,1268870
Micronesia (Federated States of),Oceania,401
Moldova (Republic of),Europe,11968
Monaco,Europe,7188
Mongolia,Asia,13996
Montenegro,Europe,5542
Morocco,Africa,119700
Mozambique,Africa,15291
Myanmar,Asia,76085
Namibia,Africa,12366
Nauru,Oceania,118
Nepal,Asia,30641
Netherlands,Europe,907050
New Zealand,Oceania,206928
Nicaragua,North America,12520
Niger,Africa,12911
Nigeria,Africa,448120
Niue,Oceania,
Norway,Europe,403336
Oman,Asia,76331
Pakistan,Asia,278221
Palau,Oceania,268
"Palestine, State of",Asia,16280
Panama,North America,66800
Papua New Guinea,Oceania,24829
Paraguay,South America,38145
Peru,South America,226848
Philippines,Asia,376795
Poland,Europe,595858
Portugal,Europe,238785
Qatar,Asia,175837
Romania,Europe,250077
Russian Federation,Europe,1699876
Rwanda,Africa,10354
Saint Kitts and Nevis,North America,1053
Saint Lucia,North America,2122
Saint Vincent and the Grenadines,North America,824
Samoa,Oceania,852
San Marino,Europe,1655
Sao Tome and Principe,Africa,418
Saudi Arabia,Asia,792966
Senegal,Africa,23578
Serbia,Europe,51475
Seychelles,Africa,1703
Sierra Leone,Africa,4121
Singapore,Asia,372062
Slovakia,Europe,54174
Slovenia,Europe,54174
Solomon Islands,Oceania,1589
Somalia,Africa,917
South Africa,Africa,351431
South Sudan,Africa,11997
Spain,Europe,1393490
Sri Lanka,Asia,84008
Sudan,Africa,30513
Suriname,South America,3697
Sweden,Europe,530883
Switzerland,Europe,703082
Syrian Arab Republic,Asia,40405
Tajikistan,Asia,8116
Tanzania (United Republic of),Africa,63177
Thailand,Asia,543548
The former Yugoslav Republic of Macedonia,Europe,12547
Timor-Leste,Asia,2017
Togo,Africa,5490
Tonga,Oceania,512
Trinidad and Tobago,North America,24269
Tunisia,Africa,38796
Turkey,Asia,761425
Turkmenistan,Asia,40761
Tuvalu,Oceania,47
Uganda,Africa,35165
Ukraine,Europe,153781
United Arab Emirates,Asia,421142
United Kingdom,Europe,2829108
United States,North America,21433226
Uruguay,South America,56045
Uzbekistan,Asia,57921
Vanuatu,Oceania,934
Venezuela (Bolivarian Republic of),South America,482359
Viet Nam,Asia,261921
Yemen,Asia,22581
Zambia,Africa,23309
Zimbabwe,Africa,21440
,,
